tx_hash,gas_used,gas_price,gas_cost_in_eth
0xf4a322a3247535bd0e73aba5d14fdcd2f01a103bd44531c1156372441b7feb97,248478,46462693845,0.01154495724121791
0x4c08541f4a172b09754d8ef34bdc8bbfe55bc9e9a64496cdbe31e515f0ee444f,166508,39094357601,0.006509523295427308
0x6dc4df999aef5fc3afb9d198867442fe82200867007a2cd4dd9de3aeb3d4c05e,171694,23479629640,0.00403131153141016
0x147fc9e81ea09ac460d86aa56127aba53024f22c16c40ee1a78363787e4393be,183753,43884628249,0.008063932094638498
0x3a575d24f77635381383d7480ac6493f9117697063ffba6a58c7b368d217ec91,257124,42571041470,0.01094603646693228
0x9a4c165bfbf28be3a44d27b6279e449800f4bfad76a79d3706bcdba960dd72ec,181679,39277500991,0.007135897102543889
0x7bc9ba85f437524d7adb70a290e7dbab5054b6fc04d400a1f9a68c276e4ef0d1,218625,38232977678,0.00835868474485275
0xe6b238a32d43a053b4f3417fec8583053d26e4131a4f05109c24115a6ec958af,158948,39132435784,0.006220022402995232
0x7b51621b00e56175a9a014a48f74d2e46391ff564f065b82bcef26abfdcd0dfb,231123,35343036890,0.00816858871512747
0x2787debcdc7f30fb22d1eef9e12e20be6edcef2451c55674d4ef88e23d3a5d2f,206740,45140563217,0.00933236003948258
0xde977bef295e566a370a40a5faab2adeaf98ef30bed066fdd861a9d782a1d690,213466,56304854229,0.012019172012847714
0x778b77c71986f726422df0531852f4e4eacdf7021d41b9e8f5f1238a1096ecc2,179701,47167715806,0.008476085698054006
0xfd28dde7342e34a062152c8fc452dae1274763de7863c3eb1079c7fef69bdfae,159157,42902781323,0.006828277967024711
0x24e6d56a07274a6f202e65ff1e83b42ba40c814882d60de7224fbcf213eb370f,188402,44808941362,0.008442094170483524
0x154bb60de02ae4fa2303944e3527af93680b98e49a1ec520ecf3b98964be8de7,212728,36401650474,0.007743650302033072
0xd077fc52f8a25e878c3b38e54005f6c5fe0a9c0c1b57da02ecc518ca7d0ba06f,212479,36228309832,0.007697755044793528
